City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,281.32,88,87,0.7,AU,2022-05-29 23:30:16
1,Port Alfred,-33.5906,26.891,286.77,68,52,11.99,ZA,2022-05-29 23:27:18
2,Khatanga,71.9667,102.5,273.69,72,46,6.06,RU,2022-05-29 23:27:37
3,Rikitea,-23.1203,-134.9692,297.98,69,4,6.0,PF,2022-05-29 23:27:36
4,Cidreira,-30.1811,-50.2056,288.86,83,100,5.16,BR,2022-05-29 23:30:17
5,Butaritari,3.0707,172.7902,300.77,73,100,7.01,KI,2022-05-29 23:24:00
6,Guiglo,6.5456,-7.4966,295.78,97,79,0.99,CI,2022-05-29 23:30:18
7,Bambous Virieux,-20.3428,57.7575,296.29,60,75,7.72,MU,2022-05-29 23:29:06
8,Busselton,-33.65,115.3333,285.99,84,49,2.46,AU,2022-05-29 23:24:00
9,Ushuaia,-54.8,-68.3,276.96,87,100,10.8,AR,2022-05-29 23:27:51
10,Nikolskoye,59.7035,30.7861,283.04,95,96,2.23,RU,2022-05-29 23:30:21
11,Punta Arenas,-53.15,-70.9167,278.21,75,40,8.23,CL,2022-05-29 23:28:57
12,Waiuku,-37.25,174.75,291.31,94,100,5.27,NZ,2022-05-29 23:30:23
13,Belaya Gora,68.5333,146.4167,286.81,42,81,3.69,RU,2022-05-29 23:30:24
14,Kapaa,22.0752,-159.319,300.14,92,100,4.12,US,2022-05-29 23:30:25
15,Geraldton,-28.7667,114.6,278.38,87,0,2.06,AU,2022-05-29 23:30:26
16,Tasiilaq,65.6145,-37.6368,277.24,99,100,1.76,GL,2022-05-29 23:28:57
17,Hovd,48.0056,91.6419,293.03,30,79,1.62,MN,2022-05-29 23:30:27
18,Puerto Ayora,-0.7393,-90.3518,297.13,77,87,3.78,EC,2022-05-29 23:27:26
19,Dikson,73.5069,80.5464,271.16,90,100,1.84,RU,2022-05-29 23:30:28
20,Saldanha,-33.0117,17.9442,279.18,57,0,2.95,ZA,2022-05-29 23:30:28
21,Castro,-24.7911,-50.0119,290.4,73,41,2.85,BR,2022-05-29 23:26:27
22,Hambantota,6.1241,81.1185,299.57,80,100,8.87,LK,2022-05-29 23:30:30
23,Berlevag,70.8578,29.0864,277.12,87,10,3.09,NO,2022-05-29 23:30:30
24,Bethel,41.3712,-73.414,297.2,57,0,3.09,US,2022-05-29 23:27:32
25,Avera,33.194,-82.5271,303.18,59,49,3.31,US,2022-05-29 23:30:31
26,Prado,-17.3411,-39.2208,295.5,92,55,1.43,BR,2022-05-29 23:30:32
27,Murdochville,48.9583,-65.5006,282.64,72,0,1.62,CA,2022-05-29 23:30:32
28,La Rioja,42.25,-2.5,287.03,72,99,1.57,ES,2022-05-29 23:30:33
29,Albany,42.6001,-73.9662,298.51,50,15,1.1,US,2022-05-29 23:30:34
30,Hithadhoo,-0.6,73.0833,301.75,70,100,4.82,MV,2022-05-29 23:27:25
31,Hilo,19.7297,-155.09,303.86,79,75,3.09,US,2022-05-29 23:25:44
32,Mokhsogollokh,61.4681,128.9203,283.11,87,100,2.2,RU,2022-05-29 23:30:35
33,Necochea,-38.5473,-58.7368,279.26,61,46,7.91,AR,2022-05-29 23:30:36
34,Bluff,-46.6,168.3333,282.48,67,100,3.48,NZ,2022-05-29 23:27:24
35,San Patricio,28.017,-97.5169,305.12,62,3,9.73,US,2022-05-29 23:30:37
36,Kimbe,-5.5502,150.1429,303.54,63,92,1.01,PG,2022-05-29 23:30:38
37,Los Llanos De Aridane,28.6585,-17.9182,291.01,83,0,2.57,ES,2022-05-29 23:30:39
38,Kavieng,-2.5744,150.7967,300.87,79,52,4.97,PG,2022-05-29 23:30:39
39,Mataura,-46.1927,168.8643,282.3,64,100,2.05,NZ,2022-05-29 23:30:40
40,Nautla,20.2167,-96.7833,301.73,73,17,8.71,MX,2022-05-29 23:30:41
41,Lasa,46.6166,10.7002,281.64,93,83,0.49,IT,2022-05-29 23:30:42
