City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Hofn,IS,64.2539,-15.2082,47.8,82,99,6.22,overcast clouds,2022-06-02 03:39:09
1,Rikitea,PF,-23.1203,-134.9692,77.13,82,68,22.91,broken clouds,2022-06-02 03:39:10
2,Iqaluit,CA,63.7506,-68.5145,35.33,64,20,2.3,few clouds,2022-06-02 03:39:10
3,Ambilobe,MG,-13.2,49.05,72.18,72,72,1.28,broken clouds,2022-06-02 03:39:11
4,Deputatskiy,RU,69.3,139.9,49.48,45,3,6.35,clear sky,2022-06-02 03:39:12
5,Hobart,AU,-42.8794,147.3294,52.23,65,75,6.91,broken clouds,2022-06-02 03:36:31
6,Kavaratti,IN,10.5669,72.642,80.13,82,100,16.69,moderate rain,2022-06-02 03:39:13
7,Qaanaaq,GL,77.484,-69.3632,25.34,73,100,4.81,overcast clouds,2022-06-02 03:39:14
8,Vaini,TO,-21.2,-175.2,80.76,78,40,5.75,scattered clouds,2022-06-02 03:39:15
9,Sechura,PE,-5.5569,-80.8222,63.73,81,71,10.38,broken clouds,2022-06-02 03:39:16
10,Lorengau,PG,-2.0226,147.2712,84.74,67,100,8.23,overcast clouds,2022-06-02 03:39:16
11,Cape Town,ZA,-33.9258,18.4232,61.38,89,75,3.44,broken clouds,2022-06-02 03:39:17
12,Dasoguz,TM,41.8363,59.9666,78.75,36,0,6.91,clear sky,2022-06-02 03:39:18
13,Sept-Iles,CA,50.2001,-66.3821,52.32,37,20,8.05,few clouds,2022-06-02 03:39:19
14,Tasiilaq,GL,65.6145,-37.6368,24.8,96,65,1.54,broken clouds,2022-06-02 03:39:19
15,Vila Do Maio,CV,15.1333,-23.2167,75.99,85,86,17.98,overcast clouds,2022-06-02 03:39:20
16,Jamestown,US,42.097,-79.2353,68.02,75,100,4.61,overcast clouds,2022-06-02 03:39:21
17,Ketchikan,US,55.3422,-131.6461,59.02,83,100,3.76,light rain,2022-06-02 03:39:21
18,Luderitz,NA,-26.6481,15.1594,63.91,26,0,8.79,clear sky,2022-06-02 03:39:22
19,Ushuaia,AR,-54.8,-68.3,35.26,75,0,4.61,clear sky,2022-06-02 03:39:23
20,Hamilton,US,39.1834,-84.5333,72.99,88,95,1.99,overcast clouds,2022-06-02 03:34:39
21,Yellowknife,CA,62.456,-114.3525,52.32,43,75,5.75,broken clouds,2022-06-02 03:39:24
22,Chodavaram,IN,17.8333,82.95,87.64,37,100,5.97,overcast clouds,2022-06-02 03:39:25
23,Castro,BR,-24.7911,-50.0119,59.61,97,100,4.97,light rain,2022-06-02 03:39:25
24,Djibo,BF,14.1022,-1.6306,91.76,25,5,8.1,clear sky,2022-06-02 03:39:26
25,Alofi,NU,-19.0595,-169.9187,78.69,83,40,17.27,scattered clouds,2022-06-02 03:39:27
26,Caucaia,BR,-3.7361,-38.6531,76.95,86,100,5.75,overcast clouds,2022-06-02 03:39:27
27,Codrington,AU,-38.2667,141.9667,54.46,53,100,10.45,overcast clouds,2022-06-02 03:39:28
28,Eyl,SO,7.9803,49.8164,81.09,62,93,24.92,overcast clouds,2022-06-02 03:39:28
29,Albany,US,42.6001,-73.9662,64.38,94,100,4.43,overcast clouds,2022-06-02 03:39:29
30,Victoria,HK,22.2855,114.1577,92.17,79,100,11.01,overcast clouds,2022-06-02 03:38:10
31,Hithadhoo,MV,-0.6,73.0833,83.26,69,65,9.33,broken clouds,2022-06-02 03:35:41
32,Pershotravneve,UA,51.3929,28.8684,58.46,88,52,2.93,broken clouds,2022-06-02 03:39:30
33,Kahului,US,20.8947,-156.47,79.97,82,40,21.85,scattered clouds,2022-06-02 03:37:42
34,Chokurdakh,RU,70.6333,147.9167,41.63,65,62,17.87,broken clouds,2022-06-02 03:39:31
35,Matara,LK,5.9485,80.5353,81.14,84,88,14.0,overcast clouds,2022-06-02 03:39:32
36,Busselton,AU,-33.65,115.3333,62.35,69,44,12.97,scattered clouds,2022-06-02 03:39:33
37,Chuy,UY,-33.6971,-53.4616,39.97,80,8,6.31,clear sky,2022-06-02 03:39:33
38,Fundacion,CO,10.5207,-74.185,74.91,89,57,1.86,broken clouds,2022-06-02 03:35:45
39,Sakakah,SA,29.9697,40.2064,83.77,12,47,16.35,scattered clouds,2022-06-02 03:39:35
40,Narsaq,GL,60.9167,-46.05,41.22,76,100,2.82,overcast clouds,2022-06-02 03:39:35
41,Maniwaki,CA,46.3834,-75.966,59.38,94,100,2.3,overcast clouds,2022-06-02 03:34:51
42,Te Anau,NZ,-45.4167,167.7167,51.66,89,100,3.24,light rain,2022-06-02 03:39:36
43,Esmeraldas,BR,-19.7625,-44.3139,67.06,83,57,3.53,broken clouds,2022-06-02 03:39:37
44,Kautokeino,NO,69.0125,23.0412,51.15,82,15,14.23,few clouds,2022-06-02 03:40:38
45,Airai,TL,-8.9266,125.4092,71.73,68,43,1.48,scattered clouds,2022-06-02 03:40:38
46,Daura,NG,11.5538,11.4085,79.77,58,67,7.94,broken clouds,2022-06-02 03:40:39
47,Nargana,PA,9.4428,-78.5906,78.58,84,100,6.33,overcast clouds,2022-06-02 03:40:40
48,East London,ZA,-33.0153,27.9116,56.34,67,0,9.22,clear sky,2022-06-02 03:40:40
49,Masuri,KR,35.8488,128.1492,80.29,20,18,3.83,few clouds,2022-06-02 03:40:41
50,Batemans Bay,AU,-35.7167,150.1833,59.09,46,92,3.31,overcast clouds,2022-06-02 03:40:42
51,Nanuque,BR,-17.8392,-40.3539,68.25,96,16,2.26,few clouds,2022-06-02 03:39:29
52,Longyearbyen,SJ,78.2186,15.6401,42.64,81,98,3.44,overcast clouds,2022-06-02 03:40:44
53,Mataura,NZ,-46.1927,168.8643,52.48,96,100,5.95,moderate rain,2022-06-02 03:40:44
54,Bareggio,IT,45.4877,8.9999,67.33,77,53,1.99,broken clouds,2022-06-02 03:40:45
55,Yarmouth,US,41.7057,-70.2286,57.54,87,100,6.91,overcast clouds,2022-06-02 03:40:45
56,Punta Arenas,CL,-53.15,-70.9167,33.91,93,75,4.61,broken clouds,2022-06-02 03:40:46
57,Mendoza,AR,-32.8908,-68.8272,36.93,70,20,3.44,few clouds,2022-06-02 03:40:47
58,Nyalikungu,TZ,-3.1833,33.7833,62.62,78,98,11.43,overcast clouds,2022-06-02 03:40:47
59,Quatre Cocos,MU,-20.2078,57.7625,71.1,60,3,8.68,clear sky,2022-06-02 03:40:48
60,Takayama,JP,36.1333,137.25,77.61,34,9,6.93,clear sky,2022-06-02 03:40:48
61,Khandyga,RU,62.6667,135.6,70.05,35,97,5.68,overcast clouds,2022-06-02 03:40:49
62,Ribeira Grande,PT,38.5167,-28.7,62.37,84,99,5.23,overcast clouds,2022-06-02 03:40:50
63,Les Cayes,HT,18.2,-73.75,76.19,86,100,3.83,overcast clouds,2022-06-02 03:40:51
64,Baruun-Urt,MN,46.6806,113.2792,82.81,13,80,10.63,broken clouds,2022-06-02 03:40:51
65,Davila,PH,18.4726,120.5763,87.78,69,57,7.61,broken clouds,2022-06-02 03:40:52
66,Sitka,US,57.0531,-135.33,51.69,87,100,3.44,mist,2022-06-02 03:40:52
67,Bengkulu,ID,-3.8004,102.2655,79.75,82,95,1.83,overcast clouds,2022-06-02 03:40:53
68,Oranjemund,NA,-28.55,16.4333,58.12,34,0,4.36,clear sky,2022-06-02 03:40:54
69,Ati,TD,13.2154,18.3353,83.16,9,26,8.32,scattered clouds,2022-06-02 03:40:55
70,Elat,IL,29.5581,34.9482,73.24,40,0,6.91,clear sky,2022-06-02 03:40:55
71,La Reforma,MX,25.0833,-108.05,75.36,79,45,4.54,scattered clouds,2022-06-02 03:40:56
72,Karratha,AU,-20.7377,116.8463,71.26,53,5,7.38,clear sky,2022-06-02 03:40:57
73,Guerrero Negro,MX,27.9769,-114.0611,61.39,86,0,14.7,clear sky,2022-06-02 03:40:57
74,Beloha,MG,-25.1667,45.05,65.64,66,81,7.18,broken clouds,2022-06-02 03:40:58
75,Lazi,UA,48.0667,24.2333,58.89,93,7,2.48,clear sky,2022-06-02 03:40:59
76,Chelbasskaya,RU,45.9792,39.3719,69.37,64,19,8.25,few clouds,2022-06-02 03:41:00
77,Muros,ES,42.7762,-9.0603,60.1,94,69,9.28,broken clouds,2022-06-02 03:41:00
78,Kruisfontein,ZA,-34.0033,24.7314,51.64,67,58,6.58,broken clouds,2022-06-02 03:41:01
79,Bluff,NZ,-46.6,168.3333,52.81,80,100,13.31,overcast clouds,2022-06-02 03:41:02
80,Saint-Philippe,RE,-21.3585,55.7679,71.19,72,33,7.96,scattered clouds,2022-06-02 03:41:02
81,Thompson,CA,55.7435,-97.8558,32.16,100,100,11.5,mist,2022-06-02 03:41:03
82,Lompoc,US,34.6391,-120.4579,72.79,83,0,8.05,mist,2022-06-02 03:41:04
83,Santa Rosa,PH,14.3122,121.1114,92.1,71,31,6.08,scattered clouds,2022-06-02 03:41:04
84,Cockburn Town,TC,21.4612,-71.1419,80.01,79,100,15.01,overcast clouds,2022-06-02 03:38:55
85,Ostrovnoy,RU,68.0531,39.5131,46.74,72,100,5.03,overcast clouds,2022-06-02 03:41:05
86,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,58,75,8.05,broken clouds,2022-06-02 03:41:06
87,Georgetown,MY,5.4112,100.3354,84.13,98,40,7.0,scattered clouds,2022-06-02 03:41:08
88,Avarua,CK,-21.2078,-159.775,75.25,60,20,11.5,few clouds,2022-06-02 03:42:09
89,Butaritari,KI,3.0707,172.7902,81.91,74,99,8.48,overcast clouds,2022-06-02 03:42:09
90,Bredasdorp,ZA,-34.5322,20.0403,51.3,89,28,5.93,scattered clouds,2022-06-02 03:42:10
91,Atar,MR,20.5169,-13.0499,85.95,30,98,23.4,overcast clouds,2022-06-02 03:42:11
92,Cayenne,GF,4.9333,-52.3333,77.09,1,75,0.0,broken clouds,2022-06-02 03:42:12
93,Clyde River,CA,70.4692,-68.5914,32.23,93,40,0.0,scattered clouds,2022-06-02 03:41:06
94,Bethel,US,41.3712,-73.414,60.89,91,75,5.75,broken clouds,2022-06-02 03:42:13
95,Porto Walter,BR,-8.2686,-72.7439,70.65,99,94,1.52,overcast clouds,2022-06-02 03:42:14
96,Banjar,ID,-8.19,114.9675,88.34,59,64,3.2,broken clouds,2022-06-02 03:42:15
97,Port Alfred,ZA,-33.5906,26.891,57.79,68,84,8.59,broken clouds,2022-06-02 03:39:04
